index,area,pop,sex,x_LDI_id_Updated_7July2011,x_ihme_health_system_access_19jul2011,year
0,BRN,134.169176085,male,2.38325801147,2.008594,1990.0
1,BRN,119.835243516,female,2.38325801147,2.008594,1990.0
2,BRN,184.844047563,male,2.00564808285,2.008594,2005.0
3,BRN,179.956356589,female,2.00564808285,2.008594,2005.0
4,BRN,202.418035428,male,,2.008594,2010.0
5,BRN,198.397016037,female,,2.008594,2010.0
6,JPN,60777.3897925,male,0.67666782674,2.008594,1990.0
7,JPN,63073.3036658,female,0.67666782674,2.008594,1990.0
8,JPN,62380.2858531,male,1.0030831448,2.008594,2005.0
9,JPN,65017.7361532,female,1.0030831448,2.008594,2005.0
10,JPN,62173.0311565,male,,2.008594,2010.0
11,JPN,64789.8358687,female,,2.008594,2010.0
12,KOR,21642.6267339,male,-0.0844993336956,2.008594,1990.0
13,KOR,21593.2090977,female,-0.0844993336956,2.008594,1990.0
14,KOR,23611.4495412,male,0.507744337815,2.008594,2005.0
15,KOR,23760.0388399,female,0.507744337815,2.008594,2005.0
16,KOR,24217.6061492,male,,2.008594,2010.0
17,KOR,24389.5060372,female,,2.008594,2010.0
18,SGP,1395.2300977,male,0.501230835342,2.008594,1990.0
19,SGP,1357.05173149,female,0.501230835342,2.008594,1990.0
20,SGP,1760.87467354,male,1.44212452544,2.008594,2005.0
21,SGP,1783.68576441,female,1.44212452544,2.008594,2005.0
22,SGP,1840.40877484,male,,2.008594,2010.0
23,SGP,1869.65823253,female,,2.008594,2010.0
24,ARM,1714.71825341,male,-0.398641781603,2.008594,1990.0
25,ARM,1820.80481224,female,-0.398641781603,2.008594,1990.0
26,ARM,1452.93263049,male,-0.388932127081,2.008594,2005.0
27,ARM,1662.23817383,female,-0.388932127081,2.008594,2005.0
28,ARM,1453.01984602,male,,2.008594,2010.0
29,ARM,1666.22139991,female,,2.008594,2010.0
30,AZE,3507.17343883,male,-0.292989203151,2.008594,1990.0
31,AZE,3679.15826468,female,-0.292989203151,2.008594,1990.0
32,AZE,4284.28548639,male,-0.378375488365,2.008594,2005.0
33,AZE,4441.98828734,female,-0.378375488365,2.008594,2005.0
34,AZE,4605.88259697,male,,2.008594,2010.0
35,AZE,4714.86316928,female,,2.008594,2010.0
36,GEO,2605.16820184,male,-0.254695665661,2.008594,1990.0
37,GEO,2885.78083875,female,-0.254695665661,2.008594,1990.0
38,GEO,2160.95224843,male,-0.392578949833,2.008594,2005.0
39,GEO,2425.04534154,female,-0.392578949833,2.008594,2005.0
40,GEO,2072.06466669,male,,2.008594,2010.0
41,GEO,2325.27494975,female,,2.008594,2010.0
42,KAZ,8035.32315739,male,-0.191634693665,2.008594,1990.0
43,KAZ,8568.63863054,female,-0.191634693665,2.008594,1990.0
44,KAZ,7347.62067522,male,-0.194436300782,2.008594,2005.0
45,KAZ,8038.22773238,female,-0.194436300782,2.008594,2005.0
46,KAZ,7705.35025007,male,,2.008594,2010.0
47,KAZ,8346.08909535,female,,2.008594,2010.0
48,KGZ,2168.96664267,male,-0.424608767942,2.008594,1990.0
49,KGZ,2264.14757132,female,-0.424608767942,2.008594,1990.0
50,KGZ,2524.98849557,male,-0.462975284541,2.008594,2005.0
51,KGZ,2582.72846319,female,-0.462975284541,2.008594,2005.0
52,KGZ,2640.71699713,male,,2.008594,2010.0
53,KGZ,2709.3367025,female,,2.008594,2010.0
54,MNG,1088.19157409,male,-0.425930506465,2.008594,1990.0
55,MNG,1113.34306756,female,-0.425930506465,2.008594,1990.0
56,MNG,1270.64443948,male,-0.431932166866,2.008594,2005.0
